-0.021;-1.000;-0.065|0.018;-1.216;3.351|0.0;0.0;0.0
-0.020;-1.000;-0.072|-1.566;-1.339;3.850|0.0;0.0;0.0
-0.010;-1.005;-0.059|-1.260;-0.796;3.474|0.0;0.0;0.0
-0.018;-1.004;-0.071|-0.096;-0.429;3.194|0.0;0.0;0.0
-0.014;-1.004;-0.059|0.385;-0.131;2.966|0.0;0.0;0.0
-0.018;-1.004;-0.063|1.216;-0.009;2.809|0.0;0.0;0.0
-0.020;-1.003;-0.070|1.540;0.210;2.686|0.0;0.0;0.0
-0.019;-1.002;-0.065|1.383;0.140;2.704|0.0;0.0;0.0
-0.017;-1.002;-0.067|1.321;-0.210;2.747|0.0;0.0;0.0
-0.018;-1.000;-0.067|1.207;-0.228;2.800|0.0;0.0;0.0
-0.018;-1.000;-0.062|0.262;-0.490;2.949|0.0;-0.0;0.0
-0.017;-1.000;-0.060|0.210;-0.770;3.098|0.0;0.1;0.4
-0.018;-1.000;-0.065|0.665;-1.033;3.185|-44.9;-1.0;94.0
-0.013;-1.002;-0.061|0.639;-0.717;3.237|-44.8;-1.0;94.1
-0.012;-1.004;-0.060|1.426;-0.131;2.818|-44.7;-1.1;94.4
-0.022;-1.001;-0.059|3.500;0.472;2.126|-44.8;-1.0;94.6
-0.042;-0.998;-0.074|5.005;1.487;1.592|-44.8;-1.0;94.8
-0.015;-1.004;-0.039|4.043;2.082;1.566|-44.3;-1.1;94.9
-0.023;-1.001;-0.078|7.472;2.844;0.595|-42.4;-1.4;95.3
-0.017;-1.004;-0.069|7.525;2.284;0.621|-42.5;-1.3;95.4
-0.026;-1.000;-0.079|5.915;0.691;1.435|-42.3;-1.4;95.7
-0.017;-1.001;-0.058|-3.579;-1.295;4.270|-42.7;-1.3;95.5
-0.020;-1.000;-0.062|-2.030;-1.260;3.946|-42.0;-1.4;95.9
-0.019;-1.000;-0.060|0.175;-1.059;3.412|-42.3;-1.3;95.6
-0.026;-0.999;-0.078|2.170;-1.111;2.879|-42.3;-1.3;95.5
-0.014;-1.004;-0.059|0.569;-0.647;3.255|-42.4;-1.3;95.3
-0.032;-0.999;-0.077|4.016;-0.577;2.047|-42.0;-1.3;95.4
-0.048;-0.993;-0.110|2.774;-0.499;2.835|-42.5;-1.3;95.2
0.008;-1.011;-0.025|-3.850;0.175;3.806|-41.6;-1.3;95.1
-0.025;-1.000;-0.096|0.280;0.254;2.931|-40.0;-1.5;95.3
-0.023;-1.000;-0.099|2.047;0.105;2.625|-40.5;-1.4;95.2
-0.009;-1.004;-0.060|1.496;0.000;2.721|-40.5;-1.4;95.2
-0.025;-1.000;-0.072|0.280;-0.184;3.045|-40.7;-1.4;95.2
-0.016;-1.003;-0.070|1.697;-0.245;2.713|-41.2;-1.4;95.2
-0.016;-1.003;-0.071|0.385;-0.333;2.993|-41.1;-1.4;95.1
-0.014;-1.003;-0.058|0.044;-0.420;3.054|-41.3;-1.3;95.0
-0.026;-0.999;-0.074|0.805;-0.289;2.888|-41.5;-1.3;95.0
-0.017;-1.000;-0.063|0.271;-0.324;3.141|-41.7;-1.3;94.9
-0.022;-0.999;-0.072|0.945;-0.245;2.896|-41.5;-1.3;94.9
-0.020;-1.000;-0.064|0.429;-0.368;2.826|-41.6;-1.3;94.8
-0.016;-1.001;-0.068|0.840;-0.455;2.713|-41.6;-1.3;94.8
-0.020;-1.002;-0.072|-1.855;-0.875;3.640|-41.6;-1.3;94.8
-0.012;-1.005;-0.056|-1.794;-0.822;3.684|-41.7;-1.3;94.7
-0.021;-1.002;-0.072|0.639;-0.472;3.106|-41.8;-1.3;94.7
-0.017;-1.003;-0.066|1.479;-0.324;2.852|-42.0;-1.2;94.6
-0.023;-1.002;-0.067|2.126;-0.061;2.572|-42.0;-1.2;94.6
-0.023;-1.001;-0.074|2.257;0.245;2.494|-42.0;-1.2;94.6
-0.020;-1.001;-0.070|1.829;0.333;2.511|-42.0;-1.2;94.6
-0.020;-1.000;-0.073|1.129;0.070;2.756|-41.9;-1.2;94.6
-0.018;-1.001;-0.067|0.577;-0.245;2.844|-41.9;-1.2;94.6
-0.002;-1.002;-0.063|0.569;-0.359;2.931|-41.9;-1.2;94.6
-0.018;-1.001;-0.070|0.840;-0.464;2.852|-42.0;-1.2;94.6
-0.017;-1.000;-0.067|0.761;-0.507;2.896|-42.4;-1.2;94.5
-0.020;-1.000;-0.070|0.210;-0.490;3.019|-42.4;-1.2;94.5
-0.017;-1.001;-0.064|0.184;-0.455;3.194|-42.5;-1.2;94.5
-0.019;-1.002;-0.067|0.709;-0.254;3.054|-42.5;-1.2;94.5
-0.020;-1.002;-0.070|1.330;-0.123;2.756|-42.5;-1.2;94.4
-0.020;-1.002;-0.068|1.234;-0.166;2.616|-42.5;-1.2;94.4
-0.020;-1.001;-0.068|1.225;-0.035;2.581|-42.5;-1.2;94.4
-0.021;-1.001;-0.070|1.444;-0.175;2.686|-42.5;-1.2;94.4
-0.021;-1.000;-0.069|1.111;-0.123;2.678|-42.5;-1.2;94.4
-0.021;-1.000;-0.068|0.534;-0.289;2.844|-42.5;-1.2;94.4
-0.021;-1.000;-0.068|0.735;-0.350;2.966|-42.4;-1.2;94.4
-0.022;-1.000;-0.070|0.779;-0.341;2.826|-42.4;-1.2;94.4
-0.021;-1.001;-0.069|0.849;-0.149;2.826|-42.4;-1.2;94.4
-0.020;-1.001;-0.068|0.647;-0.254;3.071|-42.3;-1.2;94.4
-0.019;-1.001;-0.068|1.059;-0.192;2.879|-42.3;-1.2;94.3
-0.018;-1.001;-0.069|1.085;-0.210;2.896|-42.3;-1.2;94.3
-0.018;-1.000;-0.069|0.998;-0.289;2.852|-42.3;-1.2;94.3
-0.018;-1.002;-0.070|1.155;-0.298;2.739|-42.3;-1.2;94.3
-0.018;-1.001;-0.070|1.199;-0.262;2.861|-42.4;-1.2;94.3
-0.017;-1.002;-0.070|0.709;-0.157;2.914|-42.4;-1.2;94.3
-0.018;-1.002;-0.069|0.840;-0.271;2.914|-42.4;-1.2;94.3
-0.018;-1.003;-0.068|0.691;-0.289;2.800|-42.4;-1.2;94.3
-0.019;-1.002;-0.069|0.875;-0.438;2.835|-42.5;-1.2;94.3
-0.019;-1.002;-0.072|0.892;-0.350;2.922|-42.5;-1.2;94.3
-0.019;-1.002;-0.070|0.761;-0.280;2.844|-42.5;-1.2;94.3
-0.020;-1.000;-0.070|0.892;-0.140;2.870|-42.5;-1.2;94.3
-0.020;-1.000;-0.069|0.822;-0.219;2.922|-42.5;-1.2;94.3
-0.021;-0.999;-0.067|0.954;-0.192;2.809|-42.5;-1.2;94.3
-0.020;-1.002;-0.068|0.980;-0.254;2.783|-42.5;-1.2;94.3
-0.020;-1.004;-0.070|0.910;-0.315;2.905|-42.4;-1.2;94.2
-0.021;-1.002;-0.072|0.630;-0.350;3.036|-42.4;-1.2;94.2
-0.021;-1.005;-0.074|0.700;-0.333;3.054|-42.4;-1.2;94.2
-0.022;-1.007;-0.075|0.691;-0.403;3.010|-42.4;-1.2;94.2
-0.021;-1.005;-0.076|0.534;-0.359;3.106|-42.4;-1.2;94.2
-0.022;-1.001;-0.076|0.551;-0.271;3.019|-42.4;-1.2;94.2
-0.021;-1.001;-0.075|0.394;-0.175;2.888|-42.4;-1.2;94.2
-0.020;-1.003;-0.070|0.228;-0.271;3.194|-42.4;-1.2;94.2
-0.019;-1.003;-0.067|0.192;-0.184;3.098|-42.4;-1.2;94.2
-0.018;-0.996;-0.061|0.262;-0.114;3.176|-42.4;-1.2;94.2
-0.016;-0.994;-0.059|0.788;-0.219;3.062|-42.4;-1.2;94.2
-0.017;-0.994;-0.059|0.674;-0.254;2.966|-42.4;-1.2;94.2
-0.014;-0.994;-0.059|0.665;-0.254;2.896|-42.4;-1.1;94.2
-0.015;-0.990;-0.060|0.875;-0.306;2.818|-42.4;-1.1;94.2
-0.013;-1.000;-0.066|0.971;-0.245;2.931|-42.4;-1.1;94.2
-0.009;-1.020;-0.073|0.901;-0.289;3.132|-42.4;-1.1;94.1
-0.011;-1.008;-0.074|0.577;-0.385;3.045|-42.5;-1.1;94.1
