-1.006;-0.013;-0.083|0.735;-1.111;2.905|0.0;0.0;0.0
-1.007;-0.010;-0.067|0.621;-5.031;1.776|0.0;0.0;0.0
-1.000;-0.003;-0.112|0.770;-7.385;0.761|0.0;0.0;0.0
-1.005;-0.019;-0.097|0.683;-2.835;2.660|0.0;0.0;0.0
-1.012;-0.038;-0.079|0.394;-0.289;4.130|0.0;0.0;0.0
-1.002;-0.010;-0.109|0.709;-1.479;2.616|0.0;0.0;0.0
-1.006;-0.019;-0.096|0.954;-0.403;2.975|0.0;0.0;0.0
-1.007;-0.021;-0.096|1.041;-0.796;2.581|0.0;0.0;0.0
-1.010;-0.027;-0.086|0.849;0.604;3.509|0.0;0.0;0.0
-1.005;-0.018;-0.096|1.129;-0.149;2.914|0.0;0.0;0.0
-1.001;-0.020;-0.093|1.006;0.998;3.736|0.0;-0.0;0.0
-1.002;-0.018;-0.086|0.796;0.971;4.025|0.0;0.1;0.4
-1.010;-0.040;-0.069|0.569;0.306;3.868|-166.2;-84.7;168.0
-1.001;-0.016;-0.102|0.884;-2.047;2.170|-166.5;-84.9;168.7
-1.002;-0.019;-0.100|0.928;-1.024;2.590|-162.0;-85.2;164.7
-0.997;0.003;-0.101|1.251;3.342;4.305|-164.0;-85.1;166.9
-1.011;-0.036;-0.101|1.347;-0.858;1.181|-165.1;-84.9;168.3
-1.019;-0.048;-0.080|1.418;-4.839;0.201|-168.3;-84.9;171.5
-1.013;-0.038;-0.116|1.085;-8.820;-1.190|-168.0;-84.9;171.7
-0.981;0.051;-0.179|0.822;-8.356;-0.507|-167.1;-85.0;171.4
-1.018;-0.049;-0.073|0.420;7.044;7.446|-166.1;-85.1;170.8
-1.007;-0.028;-0.092|0.613;2.503;3.771|-170.3;-84.8;174.9
-1.014;-0.047;-0.056|1.146;1.111;3.684|-169.4;-85.0;174.5
-1.002;-0.018;-0.097|1.549;-4.121;0.455|-169.1;-85.0;174.7
-0.997;-0.001;-0.109|1.610;-4.323;0.131|-167.4;-85.2;174.0
-1.005;-0.019;-0.070|1.347;0.341;3.045|-167.4;-85.3;174.3
-0.998;-0.020;-0.096|1.339;1.067;3.307|-168.3;-85.3;175.4
-1.006;-0.039;-0.079|1.050;2.503;4.323|-167.7;-85.5;175.5
-1.006;-0.018;-0.081|0.849;1.487;3.780|-167.0;-85.5;175.2
-1.011;-0.027;-0.073|0.674;0.569;3.684|-164.8;-85.6;174.1
-1.008;-0.021;-0.085|0.770;-1.164;3.001|-164.1;-85.7;174.0
-1.009;-0.022;-0.096|0.901;-1.164;2.791|-163.3;-85.8;173.9
-1.010;-0.018;-0.095|1.094;-0.026;3.080|-162.2;-85.8;173.5
-1.009;-0.017;-0.090|1.085;0.788;3.395|-161.9;-85.8;173.5
-1.010;-0.026;-0.079|1.076;1.225;3.553|-161.8;-85.9;173.8
-1.006;-0.021;-0.087|0.866;-0.166;3.054|-161.7;-85.9;174.0
-1.005;-0.018;-0.087|0.840;-0.656;2.914|-160.3;-85.9;173.1
-1.004;-0.016;-0.089|0.936;0.018;2.949|-159.5;-85.9;172.9
-1.004;-0.019;-0.082|0.779;0.656;3.509|-159.1;-85.9;172.6
-1.004;-0.021;-0.080|0.726;0.639;3.544|-159.1;-85.8;172.5
-1.003;-0.018;-0.082|0.971;-0.035;3.203|-158.5;-85.8;172.1
-1.004;-0.020;-0.085|1.050;-0.814;2.835|-157.8;-85.8;171.6
-1.004;-0.018;-0.088|1.006;-0.796;2.739|-157.4;-85.8;171.4
-1.006;-0.020;-0.084|0.962;-0.298;3.124|-157.0;-85.7;171.1
-1.007;-0.021;-0.088|0.928;-0.219;3.325|-156.9;-85.7;171.0
-1.009;-0.023;-0.086|0.884;-0.018;3.360|-156.5;-85.7;170.7
-1.009;-0.022;-0.090|0.892;-0.472;3.106|-156.3;-85.6;170.5
-1.009;-0.024;-0.087|0.954;-0.280;3.124|-155.8;-85.6;170.2
-1.008;-0.023;-0.088|0.962;-0.438;2.949|-155.6;-85.6;170.0
-1.007;-0.022;-0.087|0.840;-0.254;3.045|-155.2;-85.5;169.8
-1.007;-0.023;-0.086|0.779;0.000;3.045|-155.0;-85.5;169.6
-1.006;-0.020;-0.085|0.989;-0.210;3.168|-154.7;-85.5;169.4
-1.006;-0.019;-0.085|0.945;-0.192;3.132|-154.5;-85.5;169.2
-1.005;-0.018;-0.085|0.980;-0.262;3.098|-154.3;-85.5;169.1
-1.004;-0.019;-0.084|1.041;-0.096;3.150|-154.2;-85.4;169.0
-1.004;-0.019;-0.083|1.059;-0.096;3.098|-154.2;-85.4;169.0
-1.004;-0.019;-0.083|1.059;-0.228;3.132|-154.1;-85.4;168.9
-1.004;-0.019;-0.085|0.919;-0.219;3.176|-154.0;-85.4;168.9
-1.004;-0.020;-0.086|0.989;-0.289;3.150|-153.9;-85.4;168.8
-1.006;-0.020;-0.088|0.954;-0.298;3.185|-153.8;-85.4;168.8
-1.007;-0.020;-0.088|0.928;-0.455;3.098|-153.8;-85.4;168.7
-1.009;-0.021;-0.089|0.919;-0.210;3.185|-153.7;-85.4;168.6
-1.008;-0.023;-0.089|0.849;-0.157;3.273|-153.6;-85.3;168.6
-1.007;-0.022;-0.088|0.875;-0.184;3.229|-153.5;-85.3;168.5
-1.008;-0.022;-0.086|0.858;-0.157;3.115|-153.4;-85.3;168.4
